name, success_rate, success_count, totol_problem_count, problems_solved, compilation_error_rate, compilation_error_count, total_answer_count, problems_w_ce, ce_rate_list, first_success_pos, avg_first_success_pos, avg_success_rate, first_success_count, first_success_rate
mbjp_blind__test,21.74%,10.0,46.0,"[0, 3, 4, 13, 20, 22, 24, 27, 28, 43]",54.78%,252.0,460.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",,,,,,
mbjp_dsl__test,13.04%,6.0,46.0,"[0, 13, 24, 28, 35, 43]",61.74%,284.0,460.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",,,,,,
dsl_codet5__test,28.26%,13.0,46.0,"[0, 3, 4, 8, 12, 20, 22, 24, 27, 28, 35, 36, 37]",33.26%,153.0,460.0,"[0, 1, 2, 3, 6, 8, 10, 11, 14, 15, 18, 20, 21, 23, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 44, 45]",,,,,,
humanevalcoq__test__grammar,7.69%,1.0,13.0,[2],19.23%,25.0,130.0,"[0, 4, 5, 6, 8, 9, 10, 11, 12]",,,,,,
humanevalcoq__train,94.29%,99.0,105.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98, 99, 101, 102, 103, 104]",23.23%,240.0,1033.0,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47, 48, 50, 52, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 73, 74, 76, 77, 79, 80, 81, 82, 83, 85, 86, 89, 91, 92, 93, 95, 96, 97, 99, 100, 101, 102, 103, 104]",,,,,,
humanevalcoq__test,7.69%,1.0,13.0,[2],2.31%,3.0,130.0,[11],,,,,,
humanevalcoqview__test,0.00%,0.0,13.0,[],6.35%,8.0,126.0,"[1, 4, 5, 9]",,,,,,
codet5-base_humaneval__test,7.69%,1.0,13.0,[2],43.08%,56.0,130.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12]",,,,,,
codet5p-220m-py_humaneval__test,7.69%,1.0,13.0,[2],29.23%,38.0,130.0,"[0, 2, 4, 5, 6, 7, 8, 12]",,,,,,
codet5p-220m_humaneval__test,0.00%,0.0,13.0,[],45.38%,59.0,130.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/40),0.00%,0.0,13.0,[],4.62%,6.0,130.0,"[2, 6, 9]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/60),0.00%,0.0,13.0,[],3.85%,5.0,130.0,"[4, 8, 12]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/80),0.00%,0.0,13.0,[],5.38%,7.0,130.0,"[5, 12]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/100),7.69%,1.0,13.0,[2],6.15%,8.0,130.0,"[1, 6, 7]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/120),0.00%,0.0,13.0,[],6.15%,8.0,130.0,"[6, 12]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/140),0.00%,0.0,13.0,[],3.08%,4.0,130.0,"[1, 4]",,,,,,
humanevalcoqview__test(2025-06-03_21-32-07/160),0.00%,0.0,13.0,[],2.40%,3.0,125.0,[12],,,,,,
