name, success_rate, success_count, totol_problem_count, compilation_error_rate, compilation_error_count, total_answer_count, avg_first_success_pos, avg_success_rate, first_success_count, first_success_rate, best_checkpoint
mbjp_coq_nocheck            ,19.40%,13.0,67.0,  27.31%,183.0,670.0, 8.34,5.67%,7.0,10.45%,
mbjp_coq_grammar            ,19.40%,13.0,67.0,  26.12%,175.0,670.0, 8.34,5.67%,7.0,10.45%,
mbjp_coq                    ,25.37%,17.0,67.0,  5.81%,38.0,654.0,   7.93,6.12%,8.0,11.94%,      2025-06-11_11-41-16/250
mbjp_coqview                ,28.36%,19.0,67.0,  3.52%,23.0,654.0,   7.94,5.96%,8.0,11.94%,      2025-06-20_16-57-57/80
mbjp_codet5-base            ,20.90%,14.0,67.0,  38.51%,258.0,670.0, 8.19,8.66%,7.0,10.45%,      2025-07-02_15-48-24/50
mbjp_codet5p-220m           ,23.88%,16.0,67.0,  38.66%,259.0,670.0, 8.12,8.66%,8.0,11.94%,      2025-07-02_15-48-24/100
mbjp_codet5-base_codeproof  ,26.87%,18.0,67.0,  37.61%,252.0,670.0, 7.36,9.70%,8.0,11.94%,      2025-09-23_23-07-57/40
mbjp_codet5-base_proofcode  ,22.39%,15.0,67.0,  31.49%,211.0,670.0, 8.21,8.96%,6.0,8.96%,       2025-09-24_20-35-59/15
sufu_coq_nocheck            ,36.21%,21.0,58.0,  74.26%,349.0,470.0, 6.78,10.64%,14.0,24.14%
sufu_coq_grammar            ,36.21%,21.0,58.0,  72.13%,352.0,488.0, 6.71,9.02%,16.0,27.59%
sufu_coq                    ,44.83%,26.0,58.0,  0.00%,0.0,382.0,    5.59,17.88%,22.0,37.93%,    2025-06-07_21-03-51/900
sufu_coqview                ,53.45%,31.0,58.0,  0.00%,0.0,361.0,    5.03,24.65%,22.0,37.93%,    2025-06-19_20-01-51/100
sufu_qwen-0.5b              ,36.21%,21.0,58.0,  51.21%,297.0,580.0, 6.60,28.45%,18.0,31.03%,
sufu_codet5-base            ,32.76%,19.0,58.0,  83.10%,482.0,580.0, 7.03,11.21%,14.0,24.14%,    2025-06-29_23-21-14/160
sufu_codet5p-220m           ,36.21%,21.0,58.0,  80.00%,464.0,580.0, 6.6,12.07%,18.0,31.03%,     2025-06-29_23-21-14/100
sufu_codet5p-770m           ,39.66%,23.0,58.0,  74.48%,432.0,580.0, 6.26,15.34%,19.0,32.76%,    2025-06-29_23-21-14/100
sufu_codet5-base_proofcode  ,36.21%,21.0,58.0,  64.31%,373.0,580.0, 6.57,21.55%,18.0,31.03%,    2025-09-15_10-24-17/90
sufu_codet5-base_codeproof  ,39.66%,23.0,58.0,  56.72%,329.0,580.0, 6.28,20.86%,17.0,29.31%,    2025-09-22_17-20-27/120
humaneval_coq_no_check      ,7.69%,1.0,13.0,19.23%,25.0,130.0, ,,,,
humaneval_coq               ,7.69%,1.0,13.0,2.31%,3.0,130.0, ,,,,
humaneval_coqview           ,7.69%,1.0,13.0,6.15%,8.0,130.0,,,,, 2025-06-03_21-32-07/100
humaneval_codet5-base       ,7.69%,1.0,13.0,43.08%,56.0,130.0, ,,,,
humaneval_codet5p-220m      ,0.00%,0.0,13.0,45.38%,59.0,130.0, ,,,,
