idx	checkpoint	task	pass1_solved	pass1_pct	pass10_solved	pass10_pct	FSP	CER_pct
0	t5_llm/models/t5gemma2-2b_sufu	t5gemma2-2b_sufu	23	39.66	30	53.45	4.86	60.52
1	2026-06-30_10-30-53/best	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	92.59
2	2026-06-30_10-30-53/epoch_10	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	88.97
3	2026-06-30_10-30-53/epoch_15	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	93.10
4	2026-06-30_10-30-53/epoch_20	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	91.72
5	2026-06-30_10-30-53/epoch_25	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	92.59
6	2026-06-30_10-30-53/epoch_30	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	92.59
7	2026-06-30_10-30-53/epoch_35	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	92.59
8	2026-06-30_10-30-53/epoch_40	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	92.24
9	2026-06-30_10-30-53/epoch_5	t5gemma2-2b_sufu	0	0.00	0	0.00	10.00	90.69
10	2026-06-30_11-24-20/best	t5gemma2-2b_sufu	24	41.38	32	55.17	4.69	58.79
11	2026-06-30_11-24-20/epoch_10	t5gemma2-2b_sufu	23	39.66	32	55.17	4.79	63.62
12	2026-06-30_11-24-20/epoch_15	t5gemma2-2b_sufu	24	41.38	32	55.17	4.69	58.79
13	2026-06-30_11-24-20/epoch_20	t5gemma2-2b_sufu	24	41.38	32	55.17	4.72	59.14
14	2026-06-30_11-24-20/epoch_25	t5gemma2-2b_sufu	24	41.38	30	53.45	4.86	60.52
15	2026-06-30_11-24-20/epoch_30	t5gemma2-2b_sufu	23	39.66	30	53.45	4.86	60.52
16	2026-06-30_11-24-20/epoch_5	t5gemma2-2b_sufu	10	17.24	16	27.59	7.41	81.90
17	checkpoint_sweep_fine_v2_20260730/epoch_0	t5gemma2-2b_sufu	3	5.17	4	6.90	9.34	95.17
18	checkpoint_sweep_fine_v2_20260730/epoch_1	t5gemma2-2b_sufu	4	6.90	7	12.07	8.95	85.17
19	checkpoint_sweep_fine_v2_20260730/epoch_10	t5gemma2-2b_sufu	21	36.21	29	50.00	5.34	57.76
20	checkpoint_sweep_fine_v2_20260730/epoch_2	t5gemma2-2b_sufu	10	17.24	14	24.14	7.78	71.03
21	checkpoint_sweep_fine_v2_20260730/epoch_3	t5gemma2-2b_sufu	12	20.69	14	24.14	7.64	81.55
22	checkpoint_sweep_fine_v2_20260730/epoch_4	t5gemma2-2b_sufu	2	3.45	2	3.45	9.66	93.45
23	checkpoint_sweep_fine_v2_20260730/epoch_5	t5gemma2-2b_sufu	15	25.86	18	31.03	7.02	72.93
24	checkpoint_sweep_fine_v2_20260730/epoch_6	t5gemma2-2b_sufu	15	25.86	20	34.48	6.81	68.45
25	checkpoint_sweep_fine_v2_20260730/epoch_7	t5gemma2-2b_sufu	12	20.69	18	31.03	7.03	76.90
26	checkpoint_sweep_fine_v2_20260730/epoch_8	t5gemma2-2b_sufu	17	29.31	26	44.83	6.07	57.93
27	checkpoint_sweep_fine_v2_20260730/epoch_9	t5gemma2-2b_sufu	20	34.48	24	41.38	6.00	60.34
28	checkpoint_sweep_steps_v3_20260730/epoch_7_step_100	t5gemma2-2b_sufu	18	31.03	25	43.10	6.07	58.79
29	checkpoint_sweep_steps_v3_20260730/epoch_7_step_125	t5gemma2-2b_sufu	20	34.48	26	44.83	5.78	59.66
